product_id,attribute_name,attribute_option_id,value
4,isFixedDisplayType,,FALSE
25,widthLogistics,,0
27,status,9783,Quản lý tồn kho
37,attributeProduct,9631,Ngừng đặt hàng
42,productSpecs,0,Hộp 5 Vỉ x 10 Viên
69,heightLogistics,,0
75,producer,3683,CAMBODIA PHARMACEUTICAL
103,marketOrCompany,9710,Hàng công ty
109,isFixedDisplayType,,FALSE
112,vatInput,12323,Thuế giá trị đầu vào: IPVAT 8%-HHTN
124,status,9775,Quản lý số lô
125,status,9784,Sản phẩm bị thu hồi
139,widthLogistics,,0
142,displayCode,10170,4 - KHÔNG HIỂN THỊ
145,displayCode,10170,4 - KHÔNG HIỂN THỊ
145,productSpecs,0,Chai
147,attributeProduct,9631,Ngừng đặt hàng
156,supplier,10423,CÔNG TY CỔ PHẦN SAO THÁI DƯƠNG
171,heightLogistics,,0
181,status,9783,Quản lý tồn kho
183,registNum,0,VN-12373-11
186,widthLogistics,,0
187,vatOutput,9637,VAT đầu ra 8%
188,vatOutput,9642,VAT đầu ra 5%
192,marketOrCompany,9710,Hàng công ty
194,heightLogistics,,0
200,widthLogistics,,0
203,id,,203
206,id,,206
214,registNum,0,0
218,marketOrCompany,9710,Hàng công ty
220,saleChannel,10166,Online & Offline
223,manufactor,8075,Việt Nam
230,status,9775,Quản lý số lô
230,vatOutput,9643,VAT đầu ra 10%
236,attributeProduct,9634,Hàng tặng
237,attributeProduct,9634,Hàng tặng
243,status,9805,Thuốc kê đơn
248,directions,,
254,vatOutput,9637,VAT đầu ra 8%
266,lengthLogistics,,0
266,registNum,0,GC-231-14
274,status,9803,Hàng đặc trị
276,isSellAlone,,FALSE
291,attributeShop,9672,Khách đặt mới lấy
295,heightLogistics,,0
302,id,,302
304,status,9774,Quản lý date
313,preserve,9676,HÀNG THƯỜNG
319,isFixedDisplayType,,FALSE
345,attributeProduct,9636,Khác
361,registNum,0,190000221/PCBA-HCM
378,isFixedDisplayType,,TRUE
380,unit,9786,cm
393,producer,5375,KHONG
394,status,9783,Quản lý tồn kho
