code,confirm_status,creation_by,creation_time,eng_name,product_id,is_active,is_delete,last_modification_by,last_modification_time,name,name_ascii,note,question,reason,ref_code,short_name,type,upc_code,upc_id,industry_code,industry_name,replace_product,tenant_code,d
442,Approved,,59:09.4,,14627,FALSE,FALSE,,38:13.6,SCARGEL BEYOND PLUS 10G,,,,,C121600000442,SCARGEL BEYOND PLUS 10G,Normal,7.82842E+11,14627,5,DƯỢC MỸ PHẨM,,,3/1/2025
4.43E+02,Approved,,59:33.4,,22262,FALSE,FALSE,,06:31.4,30 DAYS,,,,,Z121600000443,30 DAYS,Normal,7.82847E+11,22262,11,KHÁC,,,3/1/2025
444,Approved,,59:33.5,,22263,FALSE,FALSE,,59:33.5,4.3.2.1 SLIM,,,,,A121600000444,4.3.2.1 SLIM,Normal,7.82847E+11,22263,3,THUỐC,,,3/1/2025
448,Approved,,59:34.3,,22266,FALSE,FALSE,,59:34.3,ABOUND,,,,,A121600000448,ABOUND,Normal,7.82847E+11,22266,3,THUỐC,,,3/1/2025
449,Approved,,19:24.2,,17846,FALSE,FALSE,,35:51.7,ACAPELLA-S KOREA UNITED 10X10,ACAPELLA-S KOREA UNITED 10X10,,,,A121600000449,ACAPELLA-S KOREA 10X10,Normal,7.82847E+11,17846,3,THUỐC,,,3/1/2025
450,Approved,,19:24.5,,17847,TRUE,FALSE,,39:48.8,ACC 200 HEXAL 50 GÓI,ACC 200 HEXAL 50 GÓI,,,,A121600000450,ACC 200 HEXAL 50 GÓI,Normal,7.82847E+11,17847,3,THUỐC,,,3/1/2025
4.53E+02,Approved,,19:25.1,,17849,TRUE,FALSE,,42:56.9,ACEHASAN 100MG 30 GÓI,ACEHASAN 100MG 30 GÓI,,,,A121600000453,ACEHASAN 100 30 GÓI,Normal,7.82847E+11,17849,3,THUỐC,,,3/1/2025
455,Approved,,59:35.8,,22268,FALSE,FALSE,,59:35.8,ACEMETACIN 60MG-STADA,,,,,G121600000455,ACEMETACIN 60MG-STADA,Normal,7.82847E+11,22268,13,CỤC DƯỢC,,,3/1/2025
457,Approved,,19:25.8,,17851,TRUE,FALSE,,34:13.2,ACEMOL 325MG NADYPHAR 40V,ACEMOL 325MG NADYPHAR 40V,,,,A121600000457,ACEMOL 325 NDP 40V,Normal,7.82847E+11,17851,3,THUỐC,,,3/1/2025
459,Approved,,19:26.1,,17852,TRUE,FALSE,,37:32.4,ACEMOL 100 NADYPHAR 100V,ACEMOL 100 NADYPHAR 100V,,,,A121600000459,ACEMOL 100 NDP 100V,Normal,7.82847E+11,17852,3,THUỐC,,,3/1/2025
462,Approved,,19:27.1,,17855,TRUE,FALSE,,37:32.4,ACEMUC 200 SANOFI 3X10,ACEMUC 200 SANOFI 3X10,,,,A121600000462,ACEMUC 200 SNF 3X10,Normal,7.82847E+11,17855,3,THUỐC,,,3/1/2025
466,Approved,,19:27.8,,17857,FALSE,FALSE,,14:38.8,ACETYLCYSTEIN 200MG VIDIPHA 10X10,ACETYLCYSTEIN 200MG VIDIPHA 10X10,,,,A121600000466,ACETYLCYSTEIN 200 VDP 10X10,Normal,7.82847E+11,17857,3,THUỐC,,,3/1/2025
470,Approved,,19:28.8,,17860,FALSE,FALSE,,00:51.7,ACETYLCYSTEIN 200 F.T 10X10,ACETYLCYSTEIN 200 F.T 10X10,,,,A121600000470,ACETYLCYSTEIN 200 F.T 10X10,Normal,7.82847E+11,17860,3,THUỐC,,,3/1/2025
472,Approved,,59:39.9,,22273,FALSE,FALSE,,59:39.9,ACIGINAL,,,,,A121600000472,ACIGINAL,Normal,7.82847E+11,22273,3,THUỐC,,,3/1/2025
476,Approved,,59:40.4,,22277,FALSE,FALSE,,59:40.4,ACMOLRINE,,,,,A121600000476,ACMOLRINE,Normal,7.82847E+11,22277,3,THUỐC,,,3/1/2025
477,Approved,,46:29.7,,21593,TRUE,FALSE,,42:56.9,ACNACARE MEGA 3X10,ACNACARE MEGA 3X10,,,,B121600000477,ACNACARE MEGA 3X10,Normal,7.82847E+11,21593,7,TPCN,,,3/1/2025
479,Approved,,47:03.9,,21677,TRUE,FALSE,,56:41.5,ACNE AID BAR 100G - XÀ PHÒNG TẮM TRỊ MỤN,ACNE AID BAR 100G - XÀ PHÒNG TẮM TRỊ MỤN,,,,C121600000479,ACNE AID BAR 100G - XPTM,Normal,7.82847E+11,21677,5,DƯỢC MỸ PHẨM,,,3/1/2025
481,Approved,,59:41.5,,22280,FALSE,FALSE,,59:41.5,ACNEAL 20ML,,,,,A121600000481,ACNEAL 20ML,Normal,7.82847E+11,22280,3,THUỐC,,,3/1/2025
