STT,Nhóm,Tên d? li?u,Di?n gi?i,,
1,Master data,dim_shop,L?u tr? thông tin các thu?c tính c?a c?a hàng Tiêm Ch?ng Long Châu,,
2,,dim_satellite_shop,L?u tr? thông tin c?a các c?a hàng v? tinh Tiêm Ch?ng Long Châu,,
3,,dim_vaccine_regimen,L?u tr? thông tin phác ?? ?i?u tr? c?a t?ng lo?i vaccine,,
4,,dim_vaccine_disease_group,L?u tr? thông tin vaccine và các nhóm b?nh t??ng ?ng,,
5,,dim_product,L?u tr? thông tin các thu?c tính c?a t?ng lo?i vaccine,,
6,Sale transaction,fact_vaccine_sales_order_detail,L?u tr? thông tin ??n hàng chi ti?t c?a vaccine (bao g?m ??n bán và ??n tr?),,
7,,fact_vaccine_returned_order_detail,L?u tr? thông tin ??n hàng tr? c?a vaccine,,
8,,fact_vaccine_record,L?u tr? thông tin các m?i tiêm c?a khách hàng t?i Tiêm Ch?ng Long Châu,,
9,Customer profile,dim_person,L?u tr? thông tin cá nhân c?a khách hàng,,
10,,dim_person_address,L?u tr? thông tin ??a ch? c? và m?i c?a khách hàng,,
11,,dim_family_member,L?u tr? thông tin gia ?ình và ng??i giám h? c?a khách hàng,,
