cdp_id,user_id,user_time,url,device_brand,device_model,platform,ctx_event_name,ctx_screen_location,ctx_items,ctx_label,ctx_search_value,ctx_order_id
24ae9f1f-3d4b-4c30-91b0-88633ce13ec0,d10fa9c6-e1b0-b23d-6c24-3a02ca00275f,2025-08-01,,,,mob,,,,,,
c7663deb-ae4b-4ae8-843d-1205bd1286da,28e31592-0325-827e-1223-3a1328e79298,2025-08-01,,,,mob,click_view_all,product_detail,,Hỏi đáp,,
d531e6c1-a563-4fa1-a152-412986160614,,2025-08-01,,Apple,iOS-Device,mob,click_next,login,,,,
97784b7f-ccbc-4dfb-a943-95a4a4d64a9b,,2025-08-01,https://nhathuoclongchau.com.vn/thuoc/prednison-5mg-uphace-500v-15326.html,,,web,view_page,product_detail,,Chính hãng,,
6fbd2330-a510-449f-8d62-bd90eb4dca53,04446d53-9bf9-09c9-c67c-3a0e00e5050d,2025-08-01,,Apple,iOS-Device,mob,click_top_search,product_search_default,,,,
c65a2c55-9de1-4442-a105-73ac597cc152,20600fb7-3a0a-0eb4-0d6d-3a02ca201ead,2025-08-01,,Apple,iOS-Device,mob,,,,,,
2a66c02b-469b-4adb-a696-43d0f74d0340,,2025-08-01,,Apple,iOS-Device,mob,login_account,home,,,,
5029012f-3c0c-4413-891f-2b9c67df62f6,,2025-08-01,https://nhathuoclongchau.com.vn/bai-viet/ca-ngu-ky-voi-gi-nhung-dieu-can-luu-y-khi-an-ca-ngu-73233.html,Generic_Android,K,web,view_page,health_article_detail_basic,,,,
ae7e6591-c506-4101-aa0e-262c70c0bd9f,5f765c6f-7450-d094-e0cd-3a0f82bd496f,2025-08-01,,Apple,iOS-Device,mob,add_to_cart,product_detail,"[{""quantity"":1,""item_name"":""Cao dán giảm đau Salonpas Pain Relief Patch dùng trong các cơn đau vai, đau cổ (7cm x 10 cm - 5 miếng)"",""product_price"":45000,""item_id"":""00009915"",""variant"":""Hộp""}]",,,
8c5927e8-6524-476e-86b1-25ce1a678aca,87ce7c64-b11e-cb8d-9121-3a08d5ea3d40,2025-08-01,,,,mob,un_select_product,cart,,,,
