id,shop_code_vaccine,shop_name_vaccine,shop_code_lc,shop_name_lc,shop_type,status,effective_from_date,effective_to_date,is_deleted,etl_date,etl_by,primary_checksum,record_checksum
None,58002,VX HCM 224A Lê V?n L??ng,80046,LC HCM 224A Lê V?n L??ng,VTTTTC,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,6afde17212ab01b0686796ed221ebf0a,4ac4307e1ce0616242ba813843928242
None,58155,"VX BTE ??i L? ??ng Kh?i, Phú Kh??ng",80409,LC BTE 19F-20 Nguy?n Th? ??nh,VT,TRUE,5/1/2025,5/2/2050,FALSE,5/30/2025,DataBricks,c9007957400dcbe3ed70938ba9af8efc,ddf5de38e201fee9be2c86ac9f7281c2
None,58009,VX TNH 218 Qu?c L? 22B,81037,"LC TNH ?p B?n ?ình, Th?nh ??c",VT,TRUE,3/1/2025,3/2/2050,FALSE,5/30/2025,DataBricks,dc5424436a1f21b22faeaf6db02d48e3,a7f017cb0504f819a309d6ec91c37cbb
None,58003,VX HNI 244 Minh Khai,81170,LC HNI 297 Hoàng Mai,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,75aa2d1e93eeafda6f657bef88b4fa34,3426fc2033a2115670d70546953b70b0
None,58001,VX HCM 580 Nguy?n Duy Trinh,81185,LC HCM 320 Nguy?n Duy Trinh,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,7647c80e1ab95e23036fa2bde1ef04c6,11963d07bbbd65cac419b57654b3a6b5
None,58052,VX HCM 74-76 Tô Ng?c Vân,81471,LC HCM 100/3 H? V?n T?,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,949f002da344dd20f5f7b3b873f8059f,f76e5a7154e2d77b5373a4215edc5de8
None,58120,"VX BNH Lô LK3-08 KDA Nhà ? Phía B?c, Thu?n Thành",81723,LC BNH 84 V? Gi?i,VT,TRUE,12/18/2024,12/19/2050,FALSE,5/30/2025,DataBricks,df52adb5892d25dc9ec78edc6aa09f2e,3d3f1a9cb695f3c2d88e98c0150474a0
None,58155,"VX BTE ??i L? ??ng Kh?i, Phú Kh??ng",81926,LC BTE 39/2 ?oàn Hoàng Minh,VT,TRUE,5/1/2025,5/2/2050,FALSE,5/30/2025,DataBricks,a5726c1609afeba5c18c260f506a5b98,6f75f58a79f1e831f4b12ed8b1f15109
None,58078,VX KGG 8-10 Tr?n Phú,80161,LC KGG 61 Lê L?i,VT,TRUE,6/7/2024,1/1/2051,FALSE,5/30/2025,DataBricks,140c434fc38d55cc50752c38a7d00b01,f63df344f55f8007f9dc4b547b27e225
None,58052,VX HCM 74-76 Tô Ng?c Vân,80019,LC HCM 28 Phú Châu,VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,5145d73a197604f8d5aac4742bf4a3bb,f5be87a46264dc347a02161793ec337d
None,58009,VX TNH 218 Qu?c L? 22B,80995,"LC TNH Qu?c L? 22, An Th?nh",VT,TRUE,6/1/2024,1/1/2051,FALSE,5/30/2025,DataBricks,ee6e27b677cd08935dd6ad7b1b5635e0,e02e3462fee99e835c680ec3717d3bb7
None,58001,VX HCM 580 Nguy?n Duy Trinh,80499,LC HCM 1286 Nguy?n Duy Trinh,VT,TRUE,11/1/2024,11/2/2035,FALSE,5/30/2025,DataBricks,cbb154679c9b459780378b9ede63dbb4,83b1a83c2aa9d6efb4c9c859e9793c7c
None,58008,VX BPC 264 Nguy?n Hu?,81730,LC BPC 160 Qu?c L? 13,VT,TRUE,1/1/2025,1/2/2033,FALSE,5/30/2025,DataBricks,cec9154d5c8a518b0a39e0af8e44229a,d58098312ea08b2ffb4f02813019d767
None,58155,"VX BTE ??i L? ??ng Kh?i, Phú Kh??ng",81808,LC BTE 159A ???ng ?T 884,VT,TRUE,5/1/2025,5/2/2050,FALSE,5/30/2025,DataBricks,155fe9dcb9f3c06a40ba872594ff32b0,2e2af206e643381f0e32ca6815f65153
