regimen_detail_id,regimen_id,vaccine_id,from_age,to_age,age_unit_code,age_unit,from_age_number,to_age_number,schedule_type,required_injections,max_injections,unit,regimen_detail_note,dosage,nearest_injection_distance,max_distance,min_distance,is_pregnant_regimen,is_required,note,created_at,modified_at,etl_date,etl_by,record_checksum,primary_checksum
012caa80-b3ed-4641-9925-73a14db51beb,10fecf80-ec12-4177-93e0-d78125a10086,ad980c82-0ed4-4793-a7e6-3b74ab3d3db7,50 tu?i,,3,Age,50,1000,T? 50 tu?i tr? lên,2,2,ml,None,0.5,0,0,0,FALSE,TRUE,None,10/4/2024,11/7/2024,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,269907bec23f2e6c2ae946e9da68610c,40cba1a81e5fe0341e69e750fb6d7457
045c2da6-64ae-4d89-b906-741d36ca5158,dd06f3cc-ec1d-41c5-bb7b-484a9bf091db,b046a06e-cfc1-4327-9bfe-8efd07372dbd,12 tháng tu?i,< 24 tháng tu?i,2,Month,12,24,T? 12 tháng - d??i 24 tháng,3,3,ml,,0.5,NaN,60,58,FALSE,TRUE,None,6/1/2024,NaT,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,b610ed6e9de197599b50bc5e99558fa6,9f343026b8822e39bba3fa3e2e4155f1
05375986-8da3-4655-b7e5-daa193b9e266,cd0750c3-137d-44d1-ace9-636b0d85585b,f4b7e4be-1758-4d3c-9244-8564c6680e23,3 tu?i 1 NGÀY,49 tu?i,3,Age,3,49,Trên 3 tu?i - 49 tu?i,2,3,ml,None,0.5,0,0,0,FALSE,TRUE,None,8/17/2023,12/9/2023,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,24c16b5c89a9d8a35a407bf2cb950edc,68667620e3c018bf5144a8a94fc8c63a
0676ae12-5456-4833-ad79-455cd3b428a7,f3a62982-e429-48a7-88e6-01447b8cf8ee,1bd6264a-cef7-4a86-a70e-98df51204905,2 tháng tu?i,< 12 tháng tu?i,1,Week,8,52,T? 2 tháng - d??i 1 tu?i,3,3,ml,None,0.5,0,0,0,FALSE,TRUE,None,8/17/2023,12/9/2023,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,863ad83f63837cc47ca6e452e802a7d7,e5c2502ff0d14bd43a23c797b816fffa
07a3a0a2-2b3e-4a6c-a0b1-2353de35a127,37079732-7363-4a6b-b045-14274035f5db,6adcce41-9314-4491-a5bf-032e6e039664,,,3,Week,0,1000,Tiêm b?p 0.5ml - Sau ph?i nhi?m - Ch?a d? phòng,5,NaN,ml,,0.5,7,7,7,FALSE,TRUE,None,4/11/2025,NaT,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,3fb187dad6b62c41684165c293c62e27,06eca6f9edad824dea8683fe7d1bf70d
0a0e026b-efde-41d0-94c2-6bccf8663160,460ff90d-fde5-4143-9f47-0a4ed0c9893d,97bfc31d-d30d-4672-812a-d63ebce8fa48,,,1,Week,0,52143,Tiêm b?p 0.5ml - Tiêm d? phòng,3,NaN,ml,None,0.5,0,0,0,FALSE,TRUE,None,8/17/2023,12/9/2023,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,b2e4c25313dc1fdadae5cc04b0d01244,d23154421e055958e523c6767cc44e4f
0a8570ed-8497-4949-abe3-1af79775e835,009e0fd2-1b5c-4057-8169-1e4a9162de40,c7c2847b-44d5-4f22-a6ca-f60eda429687,,,0,,0,0,Ph? n? mang thai,2,NaN,ml,None,0.5,30,30,28,TRUE,TRUE,None,7/31/2024,8/22/2024,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,9f1d4bff35adf30398be4cf91bc2b503,709bbe3b8737117e70ed01c928a7e775
0ab649d7-6d8a-4478-8a6f-20ce88b51e23,71afd061-5076-497c-b5f6-c70eec21938f,4271432d-31d6-44c4-a7b2-5b335928d9af,6 tháng tu?i,< 46 tu?i,2,Month,6,552,T? 6 tháng - d??i 46 tu?i,2,2,ml,,0.5,NaN,60,58,FALSE,TRUE,None,8/17/2023,12/9/2023,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,15bd9af2ce87d288e5526d8809c32f30,cbfe68879188c7bfda9f8ce56abad446
0ad1961e-4212-4390-81e1-408a8b4e7f77,04eb032d-8893-4b7b-ade3-cdd4b243de88,dfbb61f5-306a-4a02-bba0-ca3cc234e048,36 tháng,< 9 tu?i,3,Age,3,9,T? 36 tháng tu?i - d??i 9 tu?i,2,NaN,ml,None,0.5,0,0,0,FALSE,TRUE,None,6/17/2025,6/17/2025,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,27b0802717f4e28c86d2a9d6758b4d2b,313f0d7c8c0af2ff8ceb95150bc7bd29
0b60c6a0-c5bf-4afc-b575-7ddff5c0e730,b5167c90-c60c-49a8-8ff1-a919d0944892,6cbc7463-9db7-40c2-91dc-1478d50b9773,4 tu?i,< 65 tu?i,3,Age,4,65,T? 4 - D??i 65 tu?i - ch?a tiêm BH-HG-UV,4,NaN,ml,None,0.5,0,0,0,FALSE,TRUE,None,8/17/2023,8/29/2024,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,92a65cb2cc57a55923aa4eba9dfca100,5515769db896e53be77a9e624569e996
